warning: `VIRTUAL_ENV=/opt/homebrew/opt/python@3.13/Frameworks/Python.framework/Versions/3.13` does not match the project environment path `.venv` and will be ignored; use `--active` to target the active environment instead
Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 4, 'n_head': 2, 'n_kv_head': 2, 'n_embd': 256, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 2,097,152
  value_embeds            : 4,194,304
  lm_head                 : 2,097,152
  transformer_matrices    : 3,145,856
  scalars                 : 8
  total                   : 11,534,472
Estimated FLOPs per token: 5.662387e+07
Scaling AdamW LRs by 1/sqrt(256/768) = 1.732051
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.010973 | lrm: 1.00 | dt: 1080ms | tok/sec: 30,342 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.083334 | lrm: 1.00 | dt: 575ms | tok/sec: 56,992 | mfu: 0.3% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 9.033645 | lrm: 1.00 | dt: 569ms | tok/sec: 57,626 | mfu: 0.3% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.786590 | lrm: 1.00 | dt: 558ms | tok/sec: 58,698 | mfu: 0.3% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.504376 | lrm: 1.00 | dt: 550ms | tok/sec: 59,617 | mfu: 0.3% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.285370 | lrm: 1.00 | dt: 550ms | tok/sec: 59,572 | mfu: 0.3% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 8.100784 | lrm: 1.00 | dt: 548ms | tok/sec: 59,780 | mfu: 0.3% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.942751 | lrm: 1.00 | dt: 548ms | tok/sec: 59,767 | mfu: 0.3% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 7.797296 | lrm: 1.00 | dt: 556ms | tok/sec: 58,884 | mfu: 0.3% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 7.657814 | lrm: 1.00 | dt: 573ms | tok/sec: 57,145 | mfu: 0.3% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 7.530397 | lrm: 1.00 | dt: 574ms | tok/sec: 57,069 | mfu: 0.3% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 7.398400 | lrm: 1.00 | dt: 552ms | tok/sec: 59,344 | mfu: 0.3% | epoch: 1 | remaining: 299s    
step 00012 (0.2%) | loss: 7.283058 | lrm: 1.00 | dt: 583ms | tok/sec: 56,213 | mfu: 0.3% | epoch: 1 | remaining: 299s    
step 00013 (0.4%) | loss: 7.173245 | lrm: 1.00 | dt: 634ms | tok/sec: 51,652 | mfu: 0.3% | epoch: 1 | remaining: 298s    
step 00014 (0.6%) | loss: 7.066883 | lrm: 1.00 | dt: 631ms | tok/sec: 51,923 | mfu: 0.3% | epoch: 1 | remaining: 298s    
step 00015 (0.8%) | loss: 6.974352 | lrm: 1.00 | dt: 637ms | tok/sec: 51,475 | mfu: 0.3% | epoch: 1 | remaining: 297s    
step 00016 (1.0%) | loss: 6.883756 | lrm: 1.00 | dt: 656ms | tok/sec: 49,974 | mfu: 0.3% | epoch: 1 | remaining: 296s    
step 00017 (1.2%) | loss: 6.803988 | lrm: 1.00 | dt: 646ms | tok/sec: 50,728 | mfu: 0.3% | epoch: 1 | remaining: 296s    
step 00018 (1.4%) | loss: 6.736793 | lrm: 1.00 | dt: 632ms | tok/sec: 51,837 | mfu: 0.3% | epoch: 1 | remaining: 295s    
step 00302 (65.5%) | loss: 4.081511 | lrm: 0.69 | dt: 724ms | tok/sec: 45,243 | mfu: 0.3% | epoch: 1 | remaining: 103s    
step 00303 (65.7%) | loss: 4.087560 | lrm: 0.69 | dt: 649ms | tok/sec: 50,495 | mfu: 0.3% | epoch: 1 | remaining: 102s    
step 00304 (66.0%) | loss: 4.082928 | lrm: 0.68 | dt: 669ms | tok/sec: 48,980 | mfu: 0.3% | epoch: 1 | remaining: 101s    
step 00305 (66.2%) | loss: 4.078516 | lrm: 0.68 | dt: 695ms | tok/sec: 47,165 | mfu: 0.3% | epoch: 1 | remaining: 101s    
step 00306 (66.4%) | loss: 4.077701 | lrm: 0.67 | dt: 680ms | tok/sec: 48,195 | mfu: 0.3% | epoch: 1 | remaining: 100s    
step 00307 (66.6%) | loss: 4.078022 | lrm: 0.67 | dt: 687ms | tok/sec: 47,671 | mfu: 0.3% | epoch: 1 | remaining: 99s    
step 00308 (66.9%) | loss: 4.062244 | lrm: 0.66 | dt: 714ms | tok/sec: 45,871 | mfu: 0.3% | epoch: 1 | remaining: 99s    
step 00309 (67.1%) | loss: 4.057009 | lrm: 0.66 | dt: 743ms | tok/sec: 44,114 | mfu: 0.3% | epoch: 1 | remaining: 98s    
step 00310 (67.4%) | loss: 4.049455 | lrm: 0.65 | dt: 719ms | tok/sec: 45,586 | mfu: 0.3% | epoch: 1 | remaining: 97s    
step 00311 (67.6%) | loss: 4.051110 | lrm: 0.65 | dt: 727ms | tok/sec: 45,079 | mfu: 0.3% | epoch: 1 | remaining: 96s    
step 00312 (67.8%) | loss: 4.036951 | lrm: 0.64 | dt: 726ms | tok/sec: 45,152 | mfu: 0.3% | epoch: 1 | remaining: 96s    
step 00313 (68.1%) | loss: 4.029584 | lrm: 0.64 | dt: 762ms | tok/sec: 42,992 | mfu: 0.2% | epoch: 1 | remaining: 95s    
step 00314 (68.3%) | loss: 4.027580 | lrm: 0.63 | dt: 691ms | tok/sec: 47,441 | mfu: 0.3% | epoch: 1 | remaining: 94s    
step 00315 (68.6%) | loss: 4.032521 | lrm: 0.63 | dt: 680ms | tok/sec: 48,203 | mfu: 0.3% | epoch: 1 | remaining: 94s    
step 00316 (68.8%) | loss: 4.026145 | lrm: 0.62 | dt: 675ms | tok/sec: 48,550 | mfu: 0.3% | epoch: 1 | remaining: 93s    
step 00317 (69.0%) | loss: 4.029270 | lrm: 0.62 | dt: 714ms | tok/sec: 45,865 | mfu: 0.3% | epoch: 1 | remaining: 92s    
step 00318 (69.3%) | loss: 4.037261 | lrm: 0.61 | dt: 671ms | tok/sec: 48,812 | mfu: 0.3% | epoch: 1 | remaining: 92s    
step 00319 (69.5%) | loss: 4.036004 | lrm: 0.61 | dt: 695ms | tok/sec: 47,149 | mfu: 0.3% | epoch: 1 | remaining: 91s    
step 00320 (69.7%) | loss: 4.030261 | lrm: 0.61 | dt: 661ms | tok/sec: 49,605 | mfu: 0.3% | epoch: 1 | remaining: 90s    
step 00321 (69.9%) | loss: 4.026506 | lrm: 0.60 | dt: 685ms | tok/sec: 47,820 | mfu: 0.3% | epoch: 1 | remaining: 90s    
step 00322 (70.2%) | loss: 4.035787 | lrm: 0.60 | dt: 729ms | tok/sec: 44,961 | mfu: 0.3% | epoch: 1 | remaining: 89s    
step 00323 (70.4%) | loss: 4.023234 | lrm: 0.59 | dt: 656ms | tok/sec: 49,944 | mfu: 0.3% | epoch: 1 | remaining: 88s    
step 00324 (70.6%) | loss: 4.035421 | lrm: 0.59 | dt: 663ms | tok/sec: 49,421 | mfu: 0.3% | epoch: 1 | remaining: 87s    
step 00325 (70.8%) | loss: 4.031508 | lrm: 0.58 | dt: 655ms | tok/sec: 50,048 | mfu: 0.3% | epoch: 1 | remaining: 87s    
step 00326 (71.1%) | loss: 4.023858 | lrm: 0.58 | dt: 661ms | tok/sec: 49,549 | mfu: 0.3% | epoch: 1 | remaining: 86s    
step 00327 (71.3%) | loss: 4.020454 | lrm: 0.57 | dt: 662ms | tok/sec: 49,512 | mfu: 0.3% | epoch: 1 | remaining: 85s    
step 00328 (71.5%) | loss: 4.020567 | lrm: 0.57 | dt: 685ms | tok/sec: 47,870 | mfu: 0.3% | epoch: 1 | remaining: 85s    
step 00329 (71.7%) | loss: 4.008492 | lrm: 0.57 | dt: 657ms | tok/sec: 49,881 | mfu: 0.3% | epoch: 1 | remaining: 84s    
step 00330 (72.0%) | loss: 4.002789 | lrm: 0.56 | dt: 661ms | tok/sec: 49,540 | mfu: 0.3% | epoch: 1 | remaining: 83s    
step 00331 (72.2%) | loss: 4.000034 | lrm: 0.56 | dt: 663ms | tok/sec: 49,407 | mfu: 0.3% | epoch: 1 | remaining: 83s    
step 00332 (72.4%) | loss: 4.007611 | lrm: 0.55 | dt: 660ms | tok/sec: 49,667 | mfu: 0.3% | epoch: 1 | remaining: 82s    
step 00333 (72.6%) | loss: 3.992149 | lrm: 0.55 | dt: 654ms | tok/sec: 50,138 | mfu: 0.3% | epoch: 1 | remaining: 82s    
step 00334 (72.8%) | loss: 3.996910 | lrm: 0.54 | dt: 671ms | tok/sec: 48,804 | mfu: 0.3% | epoch: 1 | remaining: 81s    
step 00335 (73.1%) | loss: 3.989563 | lrm: 0.54 | dt: 646ms | tok/sec: 50,736 | mfu: 0.3% | epoch: 1 | remaining: 80s    
step 00336 (73.3%) | loss: 3.983011 | lrm: 0.53 | dt: 669ms | tok/sec: 48,979 | mfu: 0.3% | epoch: 1 | remaining: 80s    
step 00337 (73.5%) | loss: 3.987650 | lrm: 0.53 | dt: 664ms | tok/sec: 49,368 | mfu: 0.3% | epoch: 1 | remaining: 79s    
step 00338 (73.7%) | loss: 3.987336 | lrm: 0.53 | dt: 671ms | tok/sec: 48,865 | mfu: 0.3% | epoch: 1 | remaining: 78s    
step 00339 (73.9%) | loss: 3.982380 | lrm: 0.52 | dt: 726ms | tok/sec: 45,123 | mfu: 0.3% | epoch: 1 | remaining: 77s    
step 00340 (74.2%) | loss: 3.994030 | lrm: 0.52 | dt: 651ms | tok/sec: 50,331 | mfu: 0.3% | epoch: 1 | remaining: 77s    
step 00341 (74.4%) | loss: 4.008158 | lrm: 0.51 | dt: 673ms | tok/sec: 48,722 | mfu: 0.3% | epoch: 1 | remaining: 76s    
step 00342 (74.6%) | loss: 3.987436 | lrm: 0.51 | dt: 679ms | tok/sec: 48,223 | mfu: 0.3% | epoch: 1 | remaining: 75s    
step 00343 (74.8%) | loss: 3.999351 | lrm: 0.50 | dt: 657ms | tok/sec: 49,860 | mfu: 0.3% | epoch: 1 | remaining: 75s    
step 00344 (75.1%) | loss: 3.999753 | lrm: 0.50 | dt: 648ms | tok/sec: 50,537 | mfu: 0.3% | epoch: 1 | remaining: 74s    
step 00345 (75.3%) | loss: 3.992164 | lrm: 0.49 | dt: 677ms | tok/sec: 48,421 | mfu: 0.3% | epoch: 1 | remaining: 73s    
step 00346 (75.5%) | loss: 3.980226 | lrm: 0.49 | dt: 654ms | tok/sec: 50,069 | mfu: 0.3% | epoch: 1 | remaining: 73s    
step 00347 (75.7%) | loss: 3.977321 | lrm: 0.49 | dt: 685ms | tok/sec: 47,846 | mfu: 0.3% | epoch: 1 | remaining: 72s    
step 00348 (76.0%) | loss: 3.974041 | lrm: 0.48 | dt: 670ms | tok/sec: 48,906 | mfu: 0.3% | epoch: 1 | remaining: 71s    
step 00349 (76.2%) | loss: 3.977359 | lrm: 0.48 | dt: 649ms | tok/sec: 50,465 | mfu: 0.3% | epoch: 1 | remaining: 71s    
step 00350 (76.4%) | loss: 3.966507 | lrm: 0.47 | dt: 654ms | tok/sec: 50,101 | mfu: 0.3% | epoch: 1 | remaining: 70s    
step 00351 (76.6%) | loss: 3.959033 | lrm: 0.47 | dt: 649ms | tok/sec: 50,466 | mfu: 0.3% | epoch: 1 | remaining: 70s    
step 00352 (76.8%) | loss: 3.966417 | lrm: 0.46 | dt: 666ms | tok/sec: 49,172 | mfu: 0.3% | epoch: 1 | remaining: 69s    
step 00353 (77.1%) | loss: 3.969962 | lrm: 0.46 | dt: 656ms | tok/sec: 49,937 | mfu: 0.3% | epoch: 1 | remaining: 68s    
step 00354 (77.3%) | loss: 3.970358 | lrm: 0.45 | dt: 699ms | tok/sec: 46,909 | mfu: 0.3% | epoch: 1 | remaining: 67s    
step 00355 (77.5%) | loss: 3.958981 | lrm: 0.45 | dt: 659ms | tok/sec: 49,754 | mfu: 0.3% | epoch: 1 | remaining: 67s    
step 00356 (77.7%) | loss: 3.958431 | lrm: 0.45 | dt: 650ms | tok/sec: 50,390 | mfu: 0.3% | epoch: 1 | remaining: 66s    
step 00357 (77.9%) | loss: 3.960529 | lrm: 0.44 | dt: 643ms | tok/sec: 50,979 | mfu: 0.3% | epoch: 1 | remaining: 66s    
step 00358 (78.2%) | loss: 3.956591 | lrm: 0.44 | dt: 665ms | tok/sec: 49,277 | mfu: 0.3% | epoch: 1 | remaining: 65s    
step 00359 (78.4%) | loss: 3.942503 | lrm: 0.43 | dt: 663ms | tok/sec: 49,443 | mfu: 0.3% | epoch: 1 | remaining: 64s    
step 00360 (78.6%) | loss: 3.948801 | lrm: 0.43 | dt: 659ms | tok/sec: 49,759 | mfu: 0.3% | epoch: 1 | remaining: 64s    
step 00361 (78.8%) | loss: 3.935106 | lrm: 0.42 | dt: 657ms | tok/sec: 49,887 | mfu: 0.3% | epoch: 1 | remaining: 63s    
step 00362 (79.0%) | loss: 3.935590 | lrm: 0.42 | dt: 658ms | tok/sec: 49,829 | mfu: 0.3% | epoch: 1 | remaining: 62s    
step 00363 (79.3%) | loss: 3.931875 | lrm: 0.41 | dt: 658ms | tok/sec: 49,795 | mfu: 0.3% | epoch: 1 | remaining: 62s    
step 00364 (79.5%) | loss: 3.942541 | lrm: 0.41 | dt: 669ms | tok/sec: 48,945 | mfu: 0.3% | epoch: 1 | remaining: 61s    
step 00365 (79.7%) | loss: 3.942166 | lrm: 0.41 | dt: 659ms | tok/sec: 49,740 | mfu: 0.3% | epoch: 1 | remaining: 60s    
step 00366 (79.9%) | loss: 3.949362 | lrm: 0.40 | dt: 711ms | tok/sec: 46,075 | mfu: 0.3% | epoch: 1 | remaining: 60s    
step 00367 (80.2%) | loss: 3.946743 | lrm: 0.40 | dt: 666ms | tok/sec: 49,195 | mfu: 0.3% | epoch: 1 | remaining: 59s    
step 00368 (80.4%) | loss: 3.958834 | lrm: 0.39 | dt: 671ms | tok/sec: 48,822 | mfu: 0.3% | epoch: 1 | remaining: 58s    
step 00369 (80.6%) | loss: 3.953410 | lrm: 0.39 | dt: 665ms | tok/sec: 49,252 | mfu: 0.3% | epoch: 1 | remaining: 58s    
step 00370 (80.8%) | loss: 3.944890 | lrm: 0.38 | dt: 666ms | tok/sec: 49,175 | mfu: 0.3% | epoch: 1 | remaining: 57s    
step 00371 (81.0%) | loss: 3.937978 | lrm: 0.38 | dt: 696ms | tok/sec: 47,112 | mfu: 0.3% | epoch: 1 | remaining: 56s    
step 00372 (81.3%) | loss: 3.933603 | lrm: 0.37 | dt: 653ms | tok/sec: 50,181 | mfu: 0.3% | epoch: 1 | remaining: 56s    
step 00373 (81.5%) | loss: 3.936535 | lrm: 0.37 | dt: 674ms | tok/sec: 48,648 | mfu: 0.3% | epoch: 1 | remaining: 55s    
step 00374 (81.7%) | loss: 3.920168 | lrm: 0.37 | dt: 665ms | tok/sec: 49,304 | mfu: 0.3% | epoch: 1 | remaining: 54s    
step 00375 (81.9%) | loss: 3.921664 | lrm: 0.36 | dt: 653ms | tok/sec: 50,211 | mfu: 0.3% | epoch: 1 | remaining: 54s    
step 00376 (82.2%) | loss: 3.921798 | lrm: 0.36 | dt: 674ms | tok/sec: 48,598 | mfu: 0.3% | epoch: 1 | remaining: 53s    
step 00377 (82.4%) | loss: 3.918764 | lrm: 0.35 | dt: 641ms | tok/sec: 51,142 | mfu: 0.3% | epoch: 1 | remaining: 52s    
step 00378 (82.6%) | loss: 3.907140 | lrm: 0.35 | dt: 641ms | tok/sec: 51,086 | mfu: 0.3% | epoch: 1 | remaining: 52s    
step 00379 (82.8%) | loss: 3.916258 | lrm: 0.34 | dt: 664ms | tok/sec: 49,359 | mfu: 0.3% | epoch: 1 | remaining: 51s    
step 00380 (83.0%) | loss: 3.900799 | lrm: 0.34 | dt: 646ms | tok/sec: 50,706 | mfu: 0.3% | epoch: 1 | remaining: 50s    
step 00381 (83.2%) | loss: 3.899134 | lrm: 0.34 | dt: 690ms | tok/sec: 47,482 | mfu: 0.3% | epoch: 1 | remaining: 50s    
step 00382 (83.5%) | loss: 3.885003 | lrm: 0.33 | dt: 660ms | tok/sec: 49,638 | mfu: 0.3% | epoch: 1 | remaining: 49s    
step 00383 (83.7%) | loss: 3.897390 | lrm: 0.33 | dt: 657ms | tok/sec: 49,853 | mfu: 0.3% | epoch: 1 | remaining: 48s    
step 00384 (83.9%) | loss: 3.884469 | lrm: 0.32 | dt: 655ms | tok/sec: 50,037 | mfu: 0.3% | epoch: 1 | remaining: 48s    
step 00385 (84.1%) | loss: 3.892571 | lrm: 0.32 | dt: 658ms | tok/sec: 49,809 | mfu: 0.3% | epoch: 1 | remaining: 47s    
step 00386 (84.4%) | loss: 3.882396 | lrm: 0.31 | dt: 651ms | tok/sec: 50,342 | mfu: 0.3% | epoch: 1 | remaining: 46s    
step 00387 (84.6%) | loss: 3.896884 | lrm: 0.31 | dt: 659ms | tok/sec: 49,743 | mfu: 0.3% | epoch: 1 | remaining: 46s    
step 00388 (84.8%) | loss: 3.893283 | lrm: 0.30 | dt: 701ms | tok/sec: 46,730 | mfu: 0.3% | epoch: 1 | remaining: 45s    
step 00389 (85.0%) | loss: 3.888213 | lrm: 0.30 | dt: 693ms | tok/sec: 47,307 | mfu: 0.3% | epoch: 1 | remaining: 44s    
step 00390 (85.3%) | loss: 3.878189 | lrm: 0.29 | dt: 709ms | tok/sec: 46,223 | mfu: 0.3% | epoch: 1 | remaining: 44s    
step 00391 (85.5%) | loss: 3.876096 | lrm: 0.29 | dt: 725ms | tok/sec: 45,207 | mfu: 0.3% | epoch: 1 | remaining: 43s    
step 00392 (85.7%) | loss: 3.881877 | lrm: 0.29 | dt: 662ms | tok/sec: 49,510 | mfu: 0.3% | epoch: 1 | remaining: 42s    
step 00393 (86.0%) | loss: 3.873177 | lrm: 0.28 | dt: 787ms | tok/sec: 41,622 | mfu: 0.2% | epoch: 1 | remaining: 41s    
step 00394 (86.2%) | loss: 3.856038 | lrm: 0.28 | dt: 729ms | tok/sec: 44,962 | mfu: 0.3% | epoch: 1 | remaining: 41s    
step 00395 (86.5%) | loss: 3.850145 | lrm: 0.27 | dt: 639ms | tok/sec: 51,292 | mfu: 0.3% | epoch: 1 | remaining: 40s    
step 00396 (86.7%) | loss: 3.850064 | lrm: 0.27 | dt: 651ms | tok/sec: 50,372 | mfu: 0.3% | epoch: 1 | remaining: 39s    
step 00397 (86.9%) | loss: 3.848742 | lrm: 0.26 | dt: 651ms | tok/sec: 50,349 | mfu: 0.3% | epoch: 1 | remaining: 39s    
step 00398 (87.1%) | loss: 3.862728 | lrm: 0.26 | dt: 658ms | tok/sec: 49,801 | mfu: 0.3% | epoch: 1 | remaining: 38s    
step 00399 (87.3%) | loss: 3.855045 | lrm: 0.25 | dt: 648ms | tok/sec: 50,585 | mfu: 0.3% | epoch: 1 | remaining: 37s    
step 00400 (87.5%) | loss: 3.869235 | lrm: 0.25 | dt: 658ms | tok/sec: 49,795 | mfu: 0.3% | epoch: 1 | remaining: 37s    
step 00401 (87.8%) | loss: 3.871632 | lrm: 0.24 | dt: 646ms | tok/sec: 50,749 | mfu: 0.3% | epoch: 1 | remaining: 36s    
step 00402 (88.0%) | loss: 3.880275 | lrm: 0.24 | dt: 650ms | tok/sec: 50,431 | mfu: 0.3% | epoch: 1 | remaining: 35s    
step 00403 (88.2%) | loss: 3.882178 | lrm: 0.24 | dt: 643ms | tok/sec: 50,946 | mfu: 0.3% | epoch: 1 | remaining: 35s    
step 00404 (88.4%) | loss: 3.873723 | lrm: 0.23 | dt: 647ms | tok/sec: 50,665 | mfu: 0.3% | epoch: 1 | remaining: 34s    
step 00405 (88.6%) | loss: 3.873569 | lrm: 0.23 | dt: 647ms | tok/sec: 50,614 | mfu: 0.3% | epoch: 1 | remaining: 33s    
step 00406 (88.8%) | loss: 3.874904 | lrm: 0.22 | dt: 646ms | tok/sec: 50,705 | mfu: 0.3% | epoch: 1 | remaining: 33s    
step 00407 (89.1%) | loss: 3.893378 | lrm: 0.22 | dt: 651ms | tok/sec: 50,358 | mfu: 0.3% | epoch: 1 | remaining: 32s    
step 00408 (89.3%) | loss: 3.881794 | lrm: 0.21 | dt: 650ms | tok/sec: 50,420 | mfu: 0.3% | epoch: 1 | remaining: 32s    
step 00409 (89.5%) | loss: 3.881996 | lrm: 0.21 | dt: 648ms | tok/sec: 50,594 | mfu: 0.3% | epoch: 1 | remaining: 31s    
step 00410 (89.7%) | loss: 3.876583 | lrm: 0.21 | dt: 659ms | tok/sec: 49,726 | mfu: 0.3% | epoch: 1 | remaining: 30s    
step 00411 (89.9%) | loss: 3.879975 | lrm: 0.20 | dt: 724ms | tok/sec: 45,260 | mfu: 0.3% | epoch: 1 | remaining: 30s    
step 00412 (90.2%) | loss: 3.883386 | lrm: 0.20 | dt: 662ms | tok/sec: 49,468 | mfu: 0.3% | epoch: 1 | remaining: 29s    
step 00413 (90.4%) | loss: 3.877347 | lrm: 0.19 | dt: 669ms | tok/sec: 48,971 | mfu: 0.3% | epoch: 1 | remaining: 28s    
step 00414 (90.6%) | loss: 3.855169 | lrm: 0.19 | dt: 696ms | tok/sec: 47,110 | mfu: 0.3% | epoch: 1 | remaining: 27s    
step 00415 (90.8%) | loss: 3.851610 | lrm: 0.18 | dt: 675ms | tok/sec: 48,523 | mfu: 0.3% | epoch: 1 | remaining: 27s    
step 00416 (91.1%) | loss: 3.830307 | lrm: 0.18 | dt: 669ms | tok/sec: 48,988 | mfu: 0.3% | epoch: 1 | remaining: 26s    
step 00417 (91.3%) | loss: 3.843335 | lrm: 0.17 | dt: 657ms | tok/sec: 49,865 | mfu: 0.3% | epoch: 1 | remaining: 25s    
step 00418 (91.5%) | loss: 3.852882 | lrm: 0.17 | dt: 659ms | tok/sec: 49,732 | mfu: 0.3% | epoch: 1 | remaining: 25s    
step 00419 (91.7%) | loss: 3.852721 | lrm: 0.17 | dt: 636ms | tok/sec: 51,547 | mfu: 0.3% | epoch: 1 | remaining: 24s    
step 00420 (91.9%) | loss: 3.857193 | lrm: 0.16 | dt: 650ms | tok/sec: 50,376 | mfu: 0.3% | epoch: 1 | remaining: 24s    
step 00421 (92.2%) | loss: 3.854014 | lrm: 0.16 | dt: 657ms | tok/sec: 49,858 | mfu: 0.3% | epoch: 1 | remaining: 23s    
step 00422 (92.4%) | loss: 3.854935 | lrm: 0.15 | dt: 696ms | tok/sec: 47,080 | mfu: 0.3% | epoch: 1 | remaining: 22s    
step 00423 (92.6%) | loss: 3.848240 | lrm: 0.15 | dt: 636ms | tok/sec: 51,486 | mfu: 0.3% | epoch: 1 | remaining: 22s    
step 00424 (92.8%) | loss: 3.846090 | lrm: 0.14 | dt: 642ms | tok/sec: 51,043 | mfu: 0.3% | epoch: 1 | remaining: 21s    
step 00425 (93.0%) | loss: 3.838034 | lrm: 0.14 | dt: 644ms | tok/sec: 50,854 | mfu: 0.3% | epoch: 1 | remaining: 20s    
step 00426 (93.2%) | loss: 3.831539 | lrm: 0.14 | dt: 647ms | tok/sec: 50,618 | mfu: 0.3% | epoch: 1 | remaining: 20s    
step 00427 (93.5%) | loss: 3.846898 | lrm: 0.13 | dt: 642ms | tok/sec: 51,060 | mfu: 0.3% | epoch: 1 | remaining: 19s    
step 00428 (93.7%) | loss: 3.861842 | lrm: 0.13 | dt: 641ms | tok/sec: 51,130 | mfu: 0.3% | epoch: 1 | remaining: 18s    
step 00429 (93.9%) | loss: 3.855838 | lrm: 0.12 | dt: 642ms | tok/sec: 51,066 | mfu: 0.3% | epoch: 1 | remaining: 18s    
step 00430 (94.1%) | loss: 3.844213 | lrm: 0.12 | dt: 641ms | tok/sec: 51,105 | mfu: 0.3% | epoch: 1 | remaining: 17s    
step 00431 (94.3%) | loss: 3.836615 | lrm: 0.11 | dt: 639ms | tok/sec: 51,311 | mfu: 0.3% | epoch: 1 | remaining: 16s    
step 00432 (94.5%) | loss: 3.829741 | lrm: 0.11 | dt: 650ms | tok/sec: 50,382 | mfu: 0.3% | epoch: 1 | remaining: 16s    
step 00433 (94.7%) | loss: 3.812557 | lrm: 0.11 | dt: 643ms | tok/sec: 50,944 | mfu: 0.3% | epoch: 1 | remaining: 15s    
step 00434 (95.0%) | loss: 3.813887 | lrm: 0.10 | dt: 639ms | tok/sec: 51,288 | mfu: 0.3% | epoch: 1 | remaining: 14s    
step 00435 (95.2%) | loss: 3.810694 | lrm: 0.10 | dt: 645ms | tok/sec: 50,773 | mfu: 0.3% | epoch: 1 | remaining: 14s    
step 00436 (95.4%) | loss: 3.803086 | lrm: 0.09 | dt: 641ms | tok/sec: 51,101 | mfu: 0.3% | epoch: 1 | remaining: 13s    
step 00437 (95.6%) | loss: 3.795787 | lrm: 0.09 | dt: 668ms | tok/sec: 49,036 | mfu: 0.3% | epoch: 1 | remaining: 13s    
step 00438 (95.8%) | loss: 3.796543 | lrm: 0.08 | dt: 667ms | tok/sec: 49,159 | mfu: 0.3% | epoch: 1 | remaining: 12s    
step 00439 (96.0%) | loss: 3.793883 | lrm: 0.08 | dt: 657ms | tok/sec: 49,906 | mfu: 0.3% | epoch: 1 | remaining: 11s    
step 00440 (96.3%) | loss: 3.795346 | lrm: 0.07 | dt: 658ms | tok/sec: 49,794 | mfu: 0.3% | epoch: 1 | remaining: 11s    
step 00441 (96.5%) | loss: 3.793804 | lrm: 0.07 | dt: 649ms | tok/sec: 50,508 | mfu: 0.3% | epoch: 1 | remaining: 10s    
step 00442 (96.7%) | loss: 3.793442 | lrm: 0.07 | dt: 655ms | tok/sec: 49,999 | mfu: 0.3% | epoch: 1 | remaining: 9s    
step 00443 (96.9%) | loss: 3.796119 | lrm: 0.06 | dt: 680ms | tok/sec: 48,162 | mfu: 0.3% | epoch: 1 | remaining: 9s    
step 00444 (97.1%) | loss: 3.810554 | lrm: 0.06 | dt: 646ms | tok/sec: 50,763 | mfu: 0.3% | epoch: 1 | remaining: 8s    
step 00445 (97.4%) | loss: 3.815843 | lrm: 0.05 | dt: 650ms | tok/sec: 50,384 | mfu: 0.3% | epoch: 1 | remaining: 7s    
step 00446 (97.6%) | loss: 3.832366 | lrm: 0.05 | dt: 696ms | tok/sec: 47,105 | mfu: 0.3% | epoch: 1 | remaining: 7s    
step 00447 (97.8%) | loss: 3.819634 | lrm: 0.04 | dt: 682ms | tok/sec: 48,043 | mfu: 0.3% | epoch: 1 | remaining: 6s    
step 00448 (98.0%) | loss: 3.827390 | lrm: 0.04 | dt: 664ms | tok/sec: 49,350 | mfu: 0.3% | epoch: 1 | remaining: 5s    
step 00449 (98.3%) | loss: 3.844177 | lrm: 0.03 | dt: 639ms | tok/sec: 51,278 | mfu: 0.3% | epoch: 1 | remaining: 5s    
step 00450 (98.5%) | loss: 3.839629 | lrm: 0.03 | dt: 653ms | tok/sec: 50,168 | mfu: 0.3% | epoch: 1 | remaining: 4s    
step 00451 (98.7%) | loss: 3.834838 | lrm: 0.03 | dt: 689ms | tok/sec: 47,539 | mfu: 0.3% | epoch: 1 | remaining: 3s    
step 00452 (98.9%) | loss: 3.827927 | lrm: 0.02 | dt: 671ms | tok/sec: 48,864 | mfu: 0.3% | epoch: 1 | remaining: 3s    
step 00453 (99.1%) | loss: 3.833008 | lrm: 0.02 | dt: 682ms | tok/sec: 48,034 | mfu: 0.3% | epoch: 1 | remaining: 2s    
step 00454 (99.4%) | loss: 3.836218 | lrm: 0.01 | dt: 674ms | tok/sec: 48,606 | mfu: 0.3% | epoch: 1 | remaining: 1s    
